caseid,feelings_life,education,average_hours_worked,self_rated_mental_health,income_respondent,number_marriages
64,9,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",0.1 to 29.9 hours,Very good,"Less than $25,000",1
65,7,High school diploma or a high school equivalency certificate,NA,Good,"Less than $25,000",1
66,9,Less than high school diploma or its equivalent,NA,Good,"$25,000 to $49,999",1
67,9,High school diploma or a high school equivalency certificate,0.1 to 29.9 hours,Very good,"$25,000 to $49,999",1
68,5,"College, CEGEP or other non-university certificate or di...",NA,Very good,"Less than $25,000",1
69,10,"College, CEGEP or other non-university certificate or di...",30.0 to 40.0 hours,Very good,"$25,000 to $49,999",1
70,6,High school diploma or a high school equivalency certificate,NA,Fair,"Less than $25,000",0
71,9,High school diploma or a high school equivalency certificate,NA,Excellent,"$25,000 to $49,999",1
72,8,"College, CEGEP or other non-university certificate or di...",30.0 to 40.0 hours,Excellent,"$50,000 to $74,999",0
73,6,High school diploma or a high school equivalency certificate,30.0 to 40.0 hours,Excellent,"$25,000 to $49,999",1
74,10,High school diploma or a high school equivalency certificate,30.0 to 40.0 hours,Very good,"Less than $25,000",0
75,10,High school diploma or a high school equivalency certificate,0.1 to 29.9 hours,Very good,"Less than $25,000",1
76,10,"College, CEGEP or other non-university certificate or di...",30.0 to 40.0 hours,Excellent,"$25,000 to $49,999",1
77,8,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Don't know,Very good,"Less than $25,000",0
78,9,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",0.1 to 29.9 hours,Very good,"$25,000 to $49,999",0
79,6,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",30.0 to 40.0 hours,Very good,"$25,000 to $49,999",1
80,9,Less than high school diploma or its equivalent,40.1 to 50.0 hours,Excellent,"Less than $25,000",0
81,8,Less than high school diploma or its equivalent,30.0 to 40.0 hours,Very good,"Less than $25,000",0
82,7,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",40.1 to 50.0 hours,Very good,"$75,000 to $99,999",1
83,8,Less than high school diploma or its equivalent,30.0 to 40.0 hours,Very good,"Less than $25,000",0
84,8,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",30.0 to 40.0 hours,Good,"$100,000 to $ 124,999",0
85,8,Less than high school diploma or its equivalent,0.1 to 29.9 hours,Good,"Less than $25,000",0
86,8,"University certificate, diploma or degree above the bach...",0.1 to 29.9 hours,Excellent,"$50,000 to $74,999",0
87,8,High school diploma or a high school equivalency certificate,0.1 to 29.9 hours,Good,"Less than $25,000",1
88,7,Less than high school diploma or its equivalent,NA,Very good,"Less than $25,000",1
89,7,High school diploma or a high school equivalency certificate,30.0 to 40.0 hours,Good,"$75,000 to $99,999",1
90,4,Less than high school diploma or its equivalent,NA,Fair,"Less than $25,000",1
91,NA,"University certificate, diploma or degree above the bach...",NA,Excellent,"$25,000 to $49,999",0
92,7,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",30.0 to 40.0 hours,Good,"$75,000 to $99,999",1
