caseid,feelings_life,education,average_hours_worked,self_rated_mental_health,income_respondent,number_marriages
2247,8,"College, CEGEP or other non-university certificate or di...",30.0 to 40.0 hours,Very good,"Less than $25,000",0
2248,5,Less than high school diploma or its equivalent,NA,Fair,"Less than $25,000",1
2249,8,"College, CEGEP or other non-university certificate or di...",NA,Very good,"Less than $25,000",1
2250,1,High school diploma or a high school equivalency certificate,NA,Poor,"Less than $25,000",2
2251,8,"College, CEGEP or other non-university certificate or di...",30.0 to 40.0 hours,Very good,"$25,000 to $49,999",0
2252,8,"College, CEGEP or other non-university certificate or di...",0.1 to 29.9 hours,Very good,"$25,000 to $49,999",0
2253,4,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",NA,Fair,"$25,000 to $49,999",1
2254,7,University certificate or diploma below the bachelor's level,30.0 to 40.0 hours,Excellent,"$75,000 to $99,999",2
2255,9,High school diploma or a high school equivalency certificate,30.0 to 40.0 hours,Very good,"$75,000 to $99,999",1
2256,10,Less than high school diploma or its equivalent,NA,Good,"$25,000 to $49,999",1
2257,8,High school diploma or a high school equivalency certificate,30.0 to 40.0 hours,Very good,"$25,000 to $49,999",0
2258,10,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",NA,Excellent,"Less than $25,000",1
2259,10,"College, CEGEP or other non-university certificate or di...",40.1 to 50.0 hours,Excellent,"$100,000 to $ 124,999",1
2260,9,"College, CEGEP or other non-university certificate or di...",30.0 to 40.0 hours,Very good,"$25,000 to $49,999",0
2261,9,"College, CEGEP or other non-university certificate or di...",0.1 to 29.9 hours,Excellent,"$25,000 to $49,999",1
2262,7,"College, CEGEP or other non-university certificate or di...",30.0 to 40.0 hours,Fair,"$75,000 to $99,999",2
2263,8,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",30.0 to 40.0 hours,Very good,"$125,000 and more",1
2264,10,"College, CEGEP or other non-university certificate or di...",0.1 to 29.9 hours,Excellent,"$25,000 to $49,999",1
2265,7,High school diploma or a high school equivalency certificate,30.0 to 40.0 hours,Good,"$25,000 to $49,999",1
2266,9,High school diploma or a high school equivalency certificate,0.1 to 29.9 hours,Very good,"Less than $25,000",0
2267,10,Less than high school diploma or its equivalent,NA,Excellent,"Less than $25,000",1
2268,8,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",0.1 to 29.9 hours,Excellent,"Less than $25,000",0
2269,6,"College, CEGEP or other non-university certificate or di...",NA,Fair,"$25,000 to $49,999",2
2270,5,High school diploma or a high school equivalency certificate,NA,Good,"$50,000 to $74,999",1
2271,8,"College, CEGEP or other non-university certificate or di...",0.1 to 29.9 hours,Excellent,"Less than $25,000",0
2272,10,Less than high school diploma or its equivalent,30.0 to 40.0 hours,Excellent,"Less than $25,000",1
2273,9,High school diploma or a high school equivalency certificate,50.1 hours and more,Good,"$50,000 to $74,999",1
2274,8,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",NA,Very good,"$50,000 to $74,999",1
2275,8,Less than high school diploma or its equivalent,30.0 to 40.0 hours,Very good,"$50,000 to $74,999",3
2276,10,Less than high school diploma or its equivalent,40.1 to 50.0 hours,Excellent,"$50,000 to $74,999",1
2277,9,High school diploma or a high school equivalency certificate,30.0 to 40.0 hours,Excellent,"Less than $25,000",0
2278,8,"University certificate, diploma or degree above the bach...",30.0 to 40.0 hours,Very good,"$75,000 to $99,999",1
2279,8,"College, CEGEP or other non-university certificate or di...",NA,Excellent,"$50,000 to $74,999",0
2280,10,Less than high school diploma or its equivalent,30.0 to 40.0 hours,Good,"Less than $25,000",0
2281,8,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",NA,Very good,"$50,000 to $74,999",1
2282,8,High school diploma or a high school equivalency certificate,30.0 to 40.0 hours,Good,"Less than $25,000",2
2283,8,"College, CEGEP or other non-university certificate or di...",30.0 to 40.0 hours,Very good,"Less than $25,000",1
2284,9,High school diploma or a high school equivalency certificate,0.1 to 29.9 hours,Very good,"$25,000 to $49,999",1
2285,7,"University certificate, diploma or degree above the bach...",30.0 to 40.0 hours,Excellent,"$50,000 to $74,999",0
2286,6,"College, CEGEP or other non-university certificate or di...",40.1 to 50.0 hours,Fair,"Less than $25,000",1
2287,10,"College, CEGEP or other non-university certificate or di...",30.0 to 40.0 hours,Very good,"$100,000 to $ 124,999",1
2288,8,High school diploma or a high school equivalency certificate,40.1 to 50.0 hours,Excellent,"$50,000 to $74,999",0
2289,7,High school diploma or a high school equivalency certificate,0.1 to 29.9 hours,Good,"$25,000 to $49,999",0
2290,7,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",30.0 to 40.0 hours,Fair,"$75,000 to $99,999",1
2291,10,"College, CEGEP or other non-university certificate or di...",NA,Very good,"$25,000 to $49,999",1
2292,9,"University certificate, diploma or degree above the bach...",NA,Excellent,"$75,000 to $99,999",1
2293,9,Trade certificate or diploma,NA,Good,"$25,000 to $49,999",1
2294,7,"College, CEGEP or other non-university certificate or di...",NA,Very good,"Less than $25,000",0
2295,9,High school diploma or a high school equivalency certificate,30.0 to 40.0 hours,Very good,"$25,000 to $49,999",1
2296,9,Less than high school diploma or its equivalent,0.1 to 29.9 hours,Good,"Less than $25,000",1
2297,7,"University certificate, diploma or degree above the bach...",30.0 to 40.0 hours,Good,"$25,000 to $49,999",1
2298,7,High school diploma or a high school equivalency certificate,NA,Excellent,"$25,000 to $49,999",0
2299,9,"College, CEGEP or other non-university certificate or di...",0.1 to 29.9 hours,Excellent,"$25,000 to $49,999",1
2300,6,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",30.0 to 40.0 hours,Good,"$25,000 to $49,999",0
2301,10,High school diploma or a high school equivalency certificate,0.1 to 29.9 hours,Good,"$25,000 to $49,999",1
2302,8,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",30.0 to 40.0 hours,Excellent,"$100,000 to $ 124,999",1
2303,8,"College, CEGEP or other non-university certificate or di...",30.0 to 40.0 hours,Very good,"$100,000 to $ 124,999",1
2304,9,High school diploma or a high school equivalency certificate,30.0 to 40.0 hours,Excellent,"$25,000 to $49,999",1
2305,8,Less than high school diploma or its equivalent,NA,Very good,"Less than $25,000",1
2306,10,"College, CEGEP or other non-university certificate or di...",Don't know,Very good,"$25,000 to $49,999",1
2307,7,High school diploma or a high school equivalency certificate,30.0 to 40.0 hours,Good,"$75,000 to $99,999",1
2308,10,Less than high school diploma or its equivalent,NA,Excellent,"Less than $25,000",0
2309,10,Less than high school diploma or its equivalent,30.0 to 40.0 hours,Excellent,"Less than $25,000",0
2310,6,"College, CEGEP or other non-university certificate or di...",30.0 to 40.0 hours,Fair,"$25,000 to $49,999",0
2311,8,"College, CEGEP or other non-university certificate or di...",0.1 to 29.9 hours,Excellent,"$25,000 to $49,999",1
2312,6,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",30.0 to 40.0 hours,Good,"$25,000 to $49,999",1
2313,10,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",NA,Excellent,"Less than $25,000",1
2314,9,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",30.0 to 40.0 hours,Very good,"$25,000 to $49,999",1
2315,8,Less than high school diploma or its equivalent,NA,Poor,"Less than $25,000",0
2316,8,High school diploma or a high school equivalency certificate,NA,Fair,"Less than $25,000",0
2317,9,Less than high school diploma or its equivalent,0.1 to 29.9 hours,Good,"Less than $25,000",1
2318,8,Less than high school diploma or its equivalent,NA,Good,"$50,000 to $74,999",1
2319,10,"College, CEGEP or other non-university certificate or di...",30.0 to 40.0 hours,Excellent,"Less than $25,000",2
2320,10,High school diploma or a high school equivalency certificate,NA,Excellent,"Less than $25,000",0
2321,8,University certificate or diploma below the bachelor's level,NA,Excellent,"$25,000 to $49,999",1
2322,9,High school diploma or a high school equivalency certificate,30.0 to 40.0 hours,Very good,"$50,000 to $74,999",1
2323,8,"College, CEGEP or other non-university certificate or di...",0.1 to 29.9 hours,Very good,"$50,000 to $74,999",1
2324,8,"College, CEGEP or other non-university certificate or di...",30.0 to 40.0 hours,Excellent,"$25,000 to $49,999",1
2325,8,Trade certificate or diploma,40.1 to 50.0 hours,Very good,"$50,000 to $74,999",1
2326,8,"University certificate, diploma or degree above the bach...",50.1 hours and more,Good,"$125,000 and more",1
2327,6,Trade certificate or diploma,40.1 to 50.0 hours,Good,"$100,000 to $ 124,999",1
2328,10,High school diploma or a high school equivalency certificate,40.1 to 50.0 hours,Poor,"Less than $25,000",2
2329,10,Trade certificate or diploma,30.0 to 40.0 hours,Excellent,"$25,000 to $49,999",0
2330,10,"College, CEGEP or other non-university certificate or di...",NA,Excellent,"$25,000 to $49,999",1
2331,10,High school diploma or a high school equivalency certificate,NA,Good,"Less than $25,000",1
2332,8,"College, CEGEP or other non-university certificate or di...",0.1 to 29.9 hours,Very good,"Less than $25,000",0
2333,7,"College, CEGEP or other non-university certificate or di...",NA,Good,"$25,000 to $49,999",1
2334,7,Less than high school diploma or its equivalent,0.1 to 29.9 hours,Good,"Less than $25,000",0
2335,8,Less than high school diploma or its equivalent,30.0 to 40.0 hours,Good,"$25,000 to $49,999",0
2336,9,Less than high school diploma or its equivalent,NA,Good,"$25,000 to $49,999",1
2337,5,"College, CEGEP or other non-university certificate or di...",NA,Very good,"Less than $25,000",2
2338,8,Less than high school diploma or its equivalent,NA,Fair,"Less than $25,000",1
2339,8,High school diploma or a high school equivalency certificate,NA,Good,"$25,000 to $49,999",1
2340,10,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",50.1 hours and more,Excellent,"$25,000 to $49,999",0
2341,6,"University certificate, diploma or degree above the bach...",0.1 to 29.9 hours,Good,"$25,000 to $49,999",0
2342,8,High school diploma or a high school equivalency certificate,30.0 to 40.0 hours,Very good,"Less than $25,000",0
2343,10,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",NA,Excellent,"$25,000 to $49,999",1
2344,10,Less than high school diploma or its equivalent,NA,Good,"$25,000 to $49,999",1
2345,10,High school diploma or a high school equivalency certificate,NA,Excellent,"Less than $25,000",1
2346,4,High school diploma or a high school equivalency certificate,0.1 to 29.9 hours,Good,"$25,000 to $49,999",0
2347,8,High school diploma or a high school equivalency certificate,NA,Excellent,"Less than $25,000",1
2348,9,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",30.0 to 40.0 hours,Excellent,"$50,000 to $74,999",1
2349,4,High school diploma or a high school equivalency certificate,NA,Good,"$25,000 to $49,999",1
2350,10,University certificate or diploma below the bachelor's level,40.1 to 50.0 hours,Excellent,"$50,000 to $74,999",0
2351,7,"College, CEGEP or other non-university certificate or di...",30.0 to 40.0 hours,Good,"$50,000 to $74,999",1
2352,10,"College, CEGEP or other non-university certificate or di...",NA,Excellent,"$125,000 and more",1
2353,10,"College, CEGEP or other non-university certificate or di...",0.1 to 29.9 hours,Excellent,"Less than $25,000",0
2354,9,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",0.1 to 29.9 hours,Very good,"$50,000 to $74,999",2
2355,7,Trade certificate or diploma,NA,Very good,"$25,000 to $49,999",1
2356,8,NA,30.0 to 40.0 hours,Excellent,"$25,000 to $49,999",0
2357,9,High school diploma or a high school equivalency certificate,0.1 to 29.9 hours,Very good,"$25,000 to $49,999",1
2358,6,High school diploma or a high school equivalency certificate,NA,Fair,"Less than $25,000",0
2359,9,High school diploma or a high school equivalency certificate,30.0 to 40.0 hours,Very good,"$75,000 to $99,999",0
2360,8,High school diploma or a high school equivalency certificate,NA,Good,"$25,000 to $49,999",0
2361,9,"College, CEGEP or other non-university certificate or di...",NA,Very good,"Less than $25,000",0
2362,7,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",0.1 to 29.9 hours,Good,"$25,000 to $49,999",0
2363,8,"University certificate, diploma or degree above the bach...",NA,Good,"$25,000 to $49,999",1
2364,9,High school diploma or a high school equivalency certificate,30.0 to 40.0 hours,Very good,"$75,000 to $99,999",1
2365,10,High school diploma or a high school equivalency certificate,30.0 to 40.0 hours,Excellent,"Less than $25,000",0
2366,4,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",30.0 to 40.0 hours,Poor,"$25,000 to $49,999",0
2367,9,High school diploma or a high school equivalency certificate,0.1 to 29.9 hours,Good,"$25,000 to $49,999",0
2368,10,High school diploma or a high school equivalency certificate,0.1 to 29.9 hours,Very good,"$50,000 to $74,999",1
2369,7,University certificate or diploma below the bachelor's level,NA,Good,"$50,000 to $74,999",2
2370,4,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",30.0 to 40.0 hours,Good,"$75,000 to $99,999",1
2371,7,High school diploma or a high school equivalency certificate,30.0 to 40.0 hours,Very good,"$25,000 to $49,999",1
2372,8,High school diploma or a high school equivalency certificate,0.1 to 29.9 hours,Very good,"$25,000 to $49,999",2
2373,10,"College, CEGEP or other non-university certificate or di...",NA,Excellent,"$25,000 to $49,999",1
2374,8,"University certificate, diploma or degree above the bach...",30.0 to 40.0 hours,Very good,"$25,000 to $49,999",0
2375,10,Trade certificate or diploma,NA,Very good,"Less than $25,000",1
2376,8,University certificate or diploma below the bachelor's level,30.0 to 40.0 hours,Very good,"Less than $25,000",1
2377,7,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",NA,Very good,"$50,000 to $74,999",1
2378,8,Less than high school diploma or its equivalent,0.1 to 29.9 hours,Very good,"$50,000 to $74,999",2
2379,8,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",0.1 to 29.9 hours,Good,"Less than $25,000",1
2380,9,High school diploma or a high school equivalency certificate,30.0 to 40.0 hours,Very good,"$25,000 to $49,999",1
2381,8,High school diploma or a high school equivalency certificate,30.0 to 40.0 hours,Very good,"$25,000 to $49,999",0
2382,8,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",30.0 to 40.0 hours,Very good,"$25,000 to $49,999",0
2383,NA,Less than high school diploma or its equivalent,NA,Good,"Less than $25,000",1
2384,9,Less than high school diploma or its equivalent,30.0 to 40.0 hours,Very good,"$25,000 to $49,999",1
2385,9,NA,30.0 to 40.0 hours,Very good,"$100,000 to $ 124,999",1
2386,8,"University certificate, diploma or degree above the bach...",NA,Very good,"$25,000 to $49,999",3
2387,8,University certificate or diploma below the bachelor's level,NA,Very good,"$25,000 to $49,999",1
2388,10,"College, CEGEP or other non-university certificate or di...",30.0 to 40.0 hours,Very good,"$25,000 to $49,999",0
2389,10,"College, CEGEP or other non-university certificate or di...",30.0 to 40.0 hours,Excellent,"$25,000 to $49,999",0
2390,7,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",50.1 hours and more,Very good,"$75,000 to $99,999",0
2391,4,"College, CEGEP or other non-university certificate or di...",0.1 to 29.9 hours,Poor,"$50,000 to $74,999",1
2392,9,"College, CEGEP or other non-university certificate or di...",0.1 to 29.9 hours,Very good,"$25,000 to $49,999",0
2393,7,"College, CEGEP or other non-university certificate or di...",NA,Very good,"$25,000 to $49,999",2
2394,9,"University certificate, diploma or degree above the bach...",NA,Excellent,"$75,000 to $99,999",1
2395,6,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",40.1 to 50.0 hours,Very good,"Less than $25,000",0
2396,7,Trade certificate or diploma,30.0 to 40.0 hours,Good,"$25,000 to $49,999",1
2397,9,"College, CEGEP or other non-university certificate or di...",50.1 hours and more,Poor,"$100,000 to $ 124,999",2
2398,8,High school diploma or a high school equivalency certificate,0.1 to 29.9 hours,Very good,"Less than $25,000",0
2399,10,Less than high school diploma or its equivalent,NA,Good,"Less than $25,000",0
2400,10,Less than high school diploma or its equivalent,NA,Good,"Less than $25,000",1
2401,7,Less than high school diploma or its equivalent,NA,Good,"Less than $25,000",1
2402,9,High school diploma or a high school equivalency certificate,NA,Good,"$50,000 to $74,999",1
2403,9,High school diploma or a high school equivalency certificate,30.0 to 40.0 hours,Very good,"$50,000 to $74,999",1
2404,9,High school diploma or a high school equivalency certificate,40.1 to 50.0 hours,Excellent,"$125,000 and more",1
2405,10,Less than high school diploma or its equivalent,NA,Excellent,"Less than $25,000",0
2406,8,"College, CEGEP or other non-university certificate or di...",NA,Excellent,"Less than $25,000",2
2407,10,"College, CEGEP or other non-university certificate or di...",0.1 to 29.9 hours,Excellent,"$75,000 to $99,999",0
2408,6,Less than high school diploma or its equivalent,0.1 to 29.9 hours,Good,"Less than $25,000",0
2409,8,Less than high school diploma or its equivalent,NA,Good,"$50,000 to $74,999",1
2410,9,High school diploma or a high school equivalency certificate,50.1 hours and more,Very good,"$50,000 to $74,999",1
2411,9,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",30.0 to 40.0 hours,Very good,"Less than $25,000",0
2412,9,Less than high school diploma or its equivalent,NA,Good,"Less than $25,000",1
2413,8,"College, CEGEP or other non-university certificate or di...",NA,Very good,"Less than $25,000",1
2414,7,High school diploma or a high school equivalency certificate,NA,Excellent,"Less than $25,000",1
2415,0,High school diploma or a high school equivalency certificate,NA,Fair,"Less than $25,000",1
2416,NA,High school diploma or a high school equivalency certificate,NA,Excellent,"Less than $25,000",1
2417,9,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",30.0 to 40.0 hours,Very good,"$100,000 to $ 124,999",0
2418,10,University certificate or diploma below the bachelor's level,NA,Excellent,"$50,000 to $74,999",1
2419,7,High school diploma or a high school equivalency certificate,0.1 to 29.9 hours,Excellent,"$25,000 to $49,999",0
2420,10,High school diploma or a high school equivalency certificate,30.0 to 40.0 hours,Excellent,"$25,000 to $49,999",0
2421,10,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",50.1 hours and more,Very good,"Less than $25,000",1
2422,7,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",0.1 to 29.9 hours,Good,"$50,000 to $74,999",1
2423,8,"College, CEGEP or other non-university certificate or di...",NA,Excellent,"$25,000 to $49,999",1
2424,10,High school diploma or a high school equivalency certificate,NA,Excellent,"$50,000 to $74,999",1
2425,7,NA,30.0 to 40.0 hours,Good,"$25,000 to $49,999",1
2426,7,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",30.0 to 40.0 hours,Good,"$25,000 to $49,999",0
2427,8,"University certificate, diploma or degree above the bach...",30.0 to 40.0 hours,Good,"$100,000 to $ 124,999",0
2428,7,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",0.1 to 29.9 hours,Good,"Less than $25,000",0
2429,7,"College, CEGEP or other non-university certificate or di...",40.1 to 50.0 hours,Poor,"$25,000 to $49,999",1
2430,8,High school diploma or a high school equivalency certificate,NA,Good,"Less than $25,000",1
2431,10,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",NA,Excellent,"Less than $25,000",2
2432,10,Less than high school diploma or its equivalent,40.1 to 50.0 hours,Excellent,"$25,000 to $49,999",0
2433,NA,Trade certificate or diploma,NA,Poor,"Less than $25,000",2
2434,8,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",50.1 hours and more,Excellent,"$25,000 to $49,999",0
2435,7,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",40.1 to 50.0 hours,Very good,"$100,000 to $ 124,999",1
2436,6,High school diploma or a high school equivalency certificate,NA,Good,"Less than $25,000",0
2437,6,Trade certificate or diploma,50.1 hours and more,Good,"$75,000 to $99,999",0
2438,0,High school diploma or a high school equivalency certificate,NA,Poor,"Less than $25,000",1
2439,9,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",NA,Excellent,"Less than $25,000",0
2440,7,"College, CEGEP or other non-university certificate or di...",30.0 to 40.0 hours,Good,"$25,000 to $49,999",1
2441,7,"College, CEGEP or other non-university certificate or di...",NA,Excellent,"$25,000 to $49,999",1
2442,8,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",30.0 to 40.0 hours,Good,"$25,000 to $49,999",0
2443,7,"College, CEGEP or other non-university certificate or di...",40.1 to 50.0 hours,Fair,"Less than $25,000",0
2444,8,"College, CEGEP or other non-university certificate or di...",30.0 to 40.0 hours,Very good,"$75,000 to $99,999",1
2445,10,"College, CEGEP or other non-university certificate or di...",NA,Good,"$25,000 to $49,999",1
2446,8,Trade certificate or diploma,NA,Excellent,"Less than $25,000",1
2447,9,High school diploma or a high school equivalency certificate,50.1 hours and more,Good,"Less than $25,000",0
2448,10,"College, CEGEP or other non-university certificate or di...",30.0 to 40.0 hours,Very good,"$25,000 to $49,999",1
2449,7,High school diploma or a high school equivalency certificate,30.0 to 40.0 hours,Very good,"$50,000 to $74,999",1
2450,8,"University certificate, diploma or degree above the bach...",50.1 hours and more,Excellent,"$125,000 and more",1
2451,8,Less than high school diploma or its equivalent,NA,Good,"Less than $25,000",1
2452,10,"University certificate, diploma or degree above the bach...",30.0 to 40.0 hours,Good,"$125,000 and more",1
2453,0,Less than high school diploma or its equivalent,0.1 to 29.9 hours,Excellent,"Less than $25,000",0
2454,8,High school diploma or a high school equivalency certificate,30.0 to 40.0 hours,Good,"$25,000 to $49,999",1
2455,8,"College, CEGEP or other non-university certificate or di...",30.0 to 40.0 hours,Very good,"$25,000 to $49,999",2
2456,8,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",0.1 to 29.9 hours,Very good,"Less than $25,000",0
2457,7,"College, CEGEP or other non-university certificate or di...",30.0 to 40.0 hours,Very good,"$25,000 to $49,999",1
2458,3,University certificate or diploma below the bachelor's level,40.1 to 50.0 hours,Poor,"$100,000 to $ 124,999",0
2459,9,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",0.1 to 29.9 hours,Excellent,"$50,000 to $74,999",1
2460,7,High school diploma or a high school equivalency certificate,0.1 to 29.9 hours,Good,"Less than $25,000",0
2461,10,Less than high school diploma or its equivalent,NA,Excellent,"Less than $25,000",0
2462,8,High school diploma or a high school equivalency certificate,0.1 to 29.9 hours,Very good,"Less than $25,000",0
2463,9,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",30.0 to 40.0 hours,Excellent,"$25,000 to $49,999",0
2464,9,High school diploma or a high school equivalency certificate,NA,Excellent,"$100,000 to $ 124,999",1
2465,5,"College, CEGEP or other non-university certificate or di...",30.0 to 40.0 hours,Good,"Less than $25,000",1
2466,5,NA,NA,Poor,"$25,000 to $49,999",0
2467,6,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",NA,Good,"$25,000 to $49,999",1
2468,10,High school diploma or a high school equivalency certificate,NA,Very good,"$25,000 to $49,999",1
2469,9,"College, CEGEP or other non-university certificate or di...",40.1 to 50.0 hours,Excellent,"$25,000 to $49,999",0
2470,10,"College, CEGEP or other non-university certificate or di...",40.1 to 50.0 hours,Very good,"$25,000 to $49,999",1
2471,5,Less than high school diploma or its equivalent,40.1 to 50.0 hours,Fair,"Less than $25,000",0
2472,8,"University certificate, diploma or degree above the bach...",30.0 to 40.0 hours,Good,"$25,000 to $49,999",1
2473,9,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",NA,Good,"Less than $25,000",1
2474,8,"College, CEGEP or other non-university certificate or di...",30.0 to 40.0 hours,Good,"$50,000 to $74,999",1
2475,7,"College, CEGEP or other non-university certificate or di...",30.0 to 40.0 hours,Excellent,"Less than $25,000",1
2476,6,High school diploma or a high school equivalency certificate,NA,Very good,"$25,000 to $49,999",1
2477,5,"College, CEGEP or other non-university certificate or di...",40.1 to 50.0 hours,Very good,"$25,000 to $49,999",1
2478,9,"University certificate, diploma or degree above the bach...",NA,Excellent,"$25,000 to $49,999",2
2479,7,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",30.0 to 40.0 hours,Very good,"$125,000 and more",1
2480,8,Less than high school diploma or its equivalent,NA,Very good,"$25,000 to $49,999",1
2481,10,"University certificate, diploma or degree above the bach...",NA,Excellent,"$50,000 to $74,999",1
2482,8,"University certificate, diploma or degree above the bach...",30.0 to 40.0 hours,Very good,"$25,000 to $49,999",1
2483,10,High school diploma or a high school equivalency certificate,NA,Excellent,"$50,000 to $74,999",1
2484,10,Less than high school diploma or its equivalent,0.1 to 29.9 hours,Excellent,"Less than $25,000",0
2485,8,"College, CEGEP or other non-university certificate or di...",40.1 to 50.0 hours,NA,"$50,000 to $74,999",0
2486,8,High school diploma or a high school equivalency certificate,30.0 to 40.0 hours,Good,"$50,000 to $74,999",1
2487,10,Less than high school diploma or its equivalent,NA,Good,"$25,000 to $49,999",1
2488,8,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",NA,Excellent,"$125,000 and more",1
2489,8,High school diploma or a high school equivalency certificate,30.0 to 40.0 hours,Very good,"$25,000 to $49,999",1
2490,8,"College, CEGEP or other non-university certificate or di...",30.0 to 40.0 hours,Very good,"$50,000 to $74,999",0
2491,9,High school diploma or a high school equivalency certificate,30.0 to 40.0 hours,Very good,"$50,000 to $74,999",1
2492,8,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",40.1 to 50.0 hours,Good,"$125,000 and more",1
2493,10,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",NA,Excellent,"$75,000 to $99,999",1
2494,7,"College, CEGEP or other non-university certificate or di...",30.0 to 40.0 hours,Good,"$50,000 to $74,999",0
2495,8,NA,NA,Good,"$50,000 to $74,999",0
2496,9,Trade certificate or diploma,30.0 to 40.0 hours,Good,"Less than $25,000",0
2497,5,High school diploma or a high school equivalency certificate,0.1 to 29.9 hours,Fair,"$25,000 to $49,999",0
2498,8,Trade certificate or diploma,40.1 to 50.0 hours,Good,"Less than $25,000",0
2499,8,"College, CEGEP or other non-university certificate or di...",30.0 to 40.0 hours,Excellent,"$25,000 to $49,999",1
2500,7,High school diploma or a high school equivalency certificate,NA,Very good,"Less than $25,000",1
2501,9,High school diploma or a high school equivalency certificate,NA,Very good,"$25,000 to $49,999",1
2502,8,High school diploma or a high school equivalency certificate,NA,Good,"$25,000 to $49,999",1
2503,10,Less than high school diploma or its equivalent,0.1 to 29.9 hours,Excellent,"Less than $25,000",1
2504,10,"College, CEGEP or other non-university certificate or di...",NA,Excellent,"Less than $25,000",1
2505,10,Less than high school diploma or its equivalent,30.0 to 40.0 hours,Good,"Less than $25,000",1
2506,8,High school diploma or a high school equivalency certificate,30.0 to 40.0 hours,Good,"$75,000 to $99,999",0
2507,8,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",NA,Good,"$25,000 to $49,999",1
2508,8,High school diploma or a high school equivalency certificate,40.1 to 50.0 hours,Excellent,"$50,000 to $74,999",1
2509,10,Less than high school diploma or its equivalent,Don't know,Very good,"$50,000 to $74,999",1
2510,9,Less than high school diploma or its equivalent,30.0 to 40.0 hours,Very good,"$125,000 and more",0
2511,NA,High school diploma or a high school equivalency certificate,50.1 hours and more,Good,"$75,000 to $99,999",0
2512,8,"College, CEGEP or other non-university certificate or di...",NA,Good,"Less than $25,000",1
2513,8,"College, CEGEP or other non-university certificate or di...",30.0 to 40.0 hours,Very good,"$25,000 to $49,999",0
2514,6,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",NA,Very good,"$50,000 to $74,999",1
2515,10,High school diploma or a high school equivalency certificate,40.1 to 50.0 hours,Excellent,"$50,000 to $74,999",0
2516,8,"University certificate, diploma or degree above the bach...",30.0 to 40.0 hours,Good,"$25,000 to $49,999",0
2517,8,High school diploma or a high school equivalency certificate,NA,Good,"$50,000 to $74,999",1
2518,10,"College, CEGEP or other non-university certificate or di...",40.1 to 50.0 hours,Excellent,"$75,000 to $99,999",1
2519,8,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",30.0 to 40.0 hours,Excellent,"$75,000 to $99,999",0
2520,8,High school diploma or a high school equivalency certificate,40.1 to 50.0 hours,Very good,"$25,000 to $49,999",1
2521,9,Trade certificate or diploma,NA,Very good,"$25,000 to $49,999",1
2522,5,Trade certificate or diploma,30.0 to 40.0 hours,Fair,"Less than $25,000",0
